id,media_type,short_name,long_description,slug,genres,created_by,published_by,franchises,regions
19,Game,Assassin's Creed Odyssey: Shadow Heritage DLC,"Continue your odyssey in Assassin's Creed Odyssey: Legacy of the First Blade, a 3-part DLC expansion series. Encounter the legend who first wielded the assassin's Hidden Blade and change the course of history! Discover new stories and enemies as you upgrade your Spartan hero with enhanced gear and brand new abilities. Upgrade your Spartan hero and boost your legend with enhanced gear and brand-new abilities. Combat new and unrelenting enemies on land and sea as you journey through Ancient Greece. Explore the world and uncover new revelations about the origins of the Assassin's Brotherhood. ",assassins-creed-odyssey-legacy-of-the-first-blade-episode-2,{Action},{},{Ubisoft},{},"{US, AU, UK, JP}"
20,Game,Assassin's Creed Odyssey: Bloodline DLC,"Continue your odyssey in Assassin's Creed Odyssey: Legacy of the First Blade, a 3-part DLC expansion series. Encounter the legend who first wielded the assassin's Hidden Blade and change the course of history! Discover new stories and enemies as you upgrade your Spartan hero with enhanced gear and brand new abilities. Upgrade your Spartan hero and boost your legend with enhanced gear and brand-new abilities. Combat new and unrelenting enemies on land and sea as you journey through Ancient Greece. Explore the world and uncover new revelations about the origins of the Assassin's Brotherhood. ",assassins-creed-odyssey-legacy-of-the-first-blade-episode-3,"{DLC / Expansion,Action}",{},{Ubisoft},{},"{US, AU, UK, JP}"
21,Game,Astral Chain,"Humanity’s last chance against an interdimensional invasion is a special living weapon called the Legion. As a rookie officer in the elite police task force Neuron, you and your Legion will work together to solve cases and save humankind.
<p>
In the action-packed game Astral Chain from PlatinumGames, you are part of a police special forces unit in a multi-cultural futuristic city. Players work together with a special living weapon, the Legion, in a synergetic action system of battle and exploration. Astral Chain game gives you full control over two characters at once for thrilling Synergetic Action. Alternate between several Legion types and skills to save the world your way. ",astral-chain,{Action},{PlatinumGames},{Nintendo},{},"{US, AU, UK, JP}"
22,Game,Atlas,,atlas,"{Action,RPG}","{Instinct Games,Grapeshot Games}",{Grapeshot Games},{},"{US, AU, UK, JP}"
23,Comic,Batman & the Outsiders,"Several years ago Batman personally put the Barrera family into hiding after they suffered through terrible experiments at the hands of an organization called the Ark. Now all but one of them has turned up dead...and Batman needs to locate Sofia Barrera before the wrong people get their hands on her—and her surprising power! But it wouldn’t be Batman without a hidden agenda, would it? And when Black Lightning, Katana, the Signal and Orphan find out what Batman is really up to, their every loyalty will be called into question!",batman-the-outsiders-2019,{},{},{DC Comics},{},
24,Movie,Batman vs. Teenage Mutant Ninja Turtles,Batman vs. Teenage Mutant Ninja Turtles finds Gotham City reaching new levels of danger when Shredder joins forces with Ra's al Ghul to enact a nefarious plan – leading to the team-up of the Dark Knight and the Turtles to combat the combined might of the Foot Clan and League of Assassins!,batman-vs-teenage-mutant-ninja-turtles,{Animation},{},{Warner Home Video},{},
25,Comic,Batman: Curse of the White Knight,"Written and drawn by Sean Gordon Murphy, Batman: Curse of the White Knight, is published as part of the mature readers-focused DC Black Label imprint.",batman-curse-of-the-white-knight,{},{},{DC Comics},{},
26,Comic,Batman: Damned,"DC BLACK LABEL, the highly anticipated new imprint from DC Comics, starts here!

<p>The Joker is dead.
 
<p>There is no doubt about that. But whether Batman finally snapped his scrawny neck or some other sinister force in Gotham City did the deed is still a mystery.Problem is, Batman can’t remember…and the more he digs into this labyrinthian case, the more his mind starts to doubt everything he’s uncovering. 

<p>So who better to set him straight than…John Constantine? Problem with that is as much as John loves a good mystery, he loves messing with people’s heads even more. So with John’s “help,” the pair will delve into the sordid underbelly of Gotham as they race toward the mind-blowing truth of who murdered The Joker.

<p>BATMAN: DAMNED is a bimonthly super-natural horror story told by two of comics’ greatest modern creators—a visceral thrill-ride that proudly puts the “black” in BLACK LABEL.",batman-damned,{},{},{DC Comics},{},
27,Movie,Batman: Hush,"Inspired by the seminal DC classic, Batman: Hush centers on a mysterious new villain known only as Hush, who uses a rogues' gallery of villains to destroy Batman’s crime-fighting career as well as Bruce Wayne’s personal life ... which has been further complicated by a relationship with Selina Kyle (aka Catwoman.) ",batman-hush,"{Animation,Super-Hero,Action}",{},{Warner Home Video},{DC Comics},
28,Comic,Batman: Last Knight on Earth,"Bruce Wayne wakes up in Arkham Asylum. Young. Sane. And...he was never Batman.  So begins this sprawling tale of the Dark Knight as he embarks on a quest through a devastated DC landscape featuring a massive cast of familiar faces from the DC Universe. As he tries to piece together the mystery of his past, he must unravel the cause of this terrible future and track down the unspeakable force that destroyed the world as he knew it…",batman-last-knight-on-earth,{},{},{DC Comics},{},
29,Comic,Batman/Superman,"Up in the sky, in the dark of the night, trust no one—for the Secret Six walk among us. Spinning out of the devastating events of the Batman Who Laughs, Superman and Batman are together once more in an all-new monthly series—and they’re facing a terrifying new threat that could strike from anywhere. The Dark Knight and the Man of Steel must journey into the depths of Gotham City to learn which of their fellow heroes has been transformed into the horrifying horseman of their most dangerous and deranged foe ever.",batman-superman-2019,{},{},{DC Comics},{},
30,Show,Batwoman,"Kate Kane (Ruby Rose) never planned to be Gotham’s new vigilante. Three years after Batman mysteriously disappeared, Gotham is a city in despair. Without the Caped Crusader, the Gotham City Police Department was overrun and outgunned by criminal gangs. Enter Jacob Kane (Dougray Scott) and his military-grade Crows Private Security, which now protects the city with omnipresent firepower and militia. Years before, Jacob’s first wife and daughter were killed in the crossfire of Gotham crime. He sent his only surviving daughter, Kate Kane, away from Gotham for her safety. After a dishonorable discharge from military school and years of brutal survival training, Kate returns home when the Alice in Wonderland gang targets her father and his security firm, by kidnapping his best Crow officer Sophie Moore (Meagan Tandy). Although remarried to wealthy socialite Catherine Hamilton-Kane (Elizabeth Anweis), who bankrolls the Crows, Jacob is still struggling with the family he lost, while keeping Kate –– the daughter he still has –– at a distance. But Kate is a woman who’s done asking for permission. In order to help her family and her city, she’ll have to become the one thing her father loathes –– a dark knight vigilante. With the help of her compassionate stepsister, Mary (Nicole Kang), and the crafty Luke Fox (Camrus Johnson), the son of Wayne Enterprises’ tech guru Lucius Fox, Kate Kane continues the legacy of her missing cousin, Bruce Wayne, as Batwoman. Still holding a flame for her ex-girlfriend, Sophie, Kate uses everything in her power to combat the dark machinations of the psychotic Alice (Rachel Skarsten), who’s always somewhere slipping between sane and insane. Armed with a passion for social justice and a flair for speaking her mind, Kate soars through the shadowed streets of Gotham as Batwoman. But don’t call her a hero yet. In a city desperate for a savior, she must first overcome her own demons before embracing the call to be Gotham’s symbol of hope.",batwoman,{Action-Adventure},{},{The CW},{},
31,Comic,Berserker Unbound,"A merciless sword and sorcery warrior finds himself blasted through a wormhole to a modern-day metropolis where he must protect those around him from an evil wizard determined to send him to hell. From the Eisner Award-winning team of Jeff Lemire, Mike Deodato Jr., and Frank Martin comes this urban warrior fantasy series!",berserker-unbound,{Action},{},{Dark Horse},{},
32,Movie,Between Two Ferns: The Movie,"Zach Galifianakis dreamed of becoming a star. But when Will Ferrell discovered his public access TV show ""Between Two Ferns"" and uploaded it to Funny Or Die, Zach became a viral laughing stock. Now Zach and his crew are taking a road trip to complete a series of high-profile celebrity interviews and restore his reputation. Directed by Scott Aukerman, Between Two Ferns: The Movie  is a laugh-out-loud comedy that gives new insight into the curmudgeonly, beloved outsider Zach Galifianakis has created over the years. ",between-two-ferns-the-movie,{Comedy},{},{Netflix},{},
33,Game,Big Bash Boom,"Developed in collaboration with Cricket Australia, Big Bash Boom is the perfect cricket game for the whole family, mixing all the big hitting thrills of T20 cricket with instantly accessible arcade action. Anyone, anywhere, will be able to jump in and be hitting the ball like a pro with Big Bash Boom! T20 cricket is known for its relentless action, free-flowing sixes, and dramatic run chases. Big Bash Boom ramps up the excitement of the T20 format to 11, with flaming trails when players hit sixes, beachball-sized cricket ball powerups, and a dancing duck, to really rub those out-for-zero failures in and give you the ultimate last word when playing a friend.

All BBL and WBBL teams will be present and fully licensed in the game, with even the club mascots putting in an appearance! Players will also be able to earn additional hilarious items to bling out their teams and really show their competition who’s boss. Ever wanted to know what it’s like to play cricket with a potato as the ball? Big Bash Boom has you covered! In addition to all these fun features, players can also earn powerups during play that all but guarantee a massive six out of the park. And don’t worry, Big Bash Boom hasn’t forgotten about the bowlers. T20 is a tough ask for bowlers at the best of times, but they get a fighting chance in Big Bash Boom with a powerup that shrinks the bat to the size of a stump. Good luck hitting that six needed to clinch victory. ",big-bash-boom,{Sports},{Big Ant Studios},{Big Ant Studios},{},"{US, AU, UK, JP}"
34,Movie,Bird Box,"When a mysterious force decimates the world’s population, only one thing is certain: if you see it, you take your life.  Facing the unknown, Malorie finds love, hope and a new beginning only for it to unravel.  Now she must flee with her two children down a treacherous river to the one place left that may offer sanctuary. But to survive, they'll have to undertake the perilous two-day journey blindfolded. Academy Award winner Sandra Bullock leads an all-star cast that includes Trevante Rhodes, with Sarah Paulson, and John Malkovich in BIRD BOX.",bird-box,{Thriller},{},{Netflix},{},
35,Movie,Black Christmas,"Hawthorne College is quieting down for the holidays. One by one, sorority girls on campus are being killed by an unknown stalker. But the killer is about to discover that this generation's young women aren't willing to become hapless victims as they mount a fight to the finish.

<p>From director Sophia Takal from the script she wrote with April Wolfe, comes a bold new take on the 1974 horror classic starring Imogen Poots, Aleyse Shannon, Brittany O'Grady, Lily Donoghue and Caleb Eberhardt.",black-christmas-2019,{Horror},{Blumhouse Productions},{Universal Pictures},{},
36,Movie,Black Mirror: Bandersnatch,"Black Mirror: Bandersnatch is an interactive movie based on the hit anthology series. In 1984, a young programmer begins to question reality as he adapts a sprawling fantasy novel into a video game and soon faces a mind-mangling challenge. Welcome back. ",black-mirror-bandersnatch,"{Horror,Sci-Fi}",{},{},{},
37,Show,Black Summer,"Black Summer followers survivors of a cataclysmic event who contend with zombies -- and each other -- to reach a military evacuation site. Jaime King stars as a mother, torn from her daughter, who embarks upon a harrowing journey, stopping at nothing to find her. Thrust alongside a small group of American refugees, she must brave a hostile new world and make brutal decisions during the most deadly summer of a zombie apocalypse. Karl Schaefer and John Hyams serve as creators, executive producers, and co-showrunners. ",black-summer,{Drama},{},{Netflix.com},{},
38,Game,Blair Witch,"It’s 1996. A young boy disappears in the Black Hills Forest near Burkittsville, Maryland. As Ellis, a former police officer with a troubled past, you join the search. What starts as an ordinary investigation soon turns into an endless nightmare as you confront your fears and the Blair Witch, a mysterious force that haunts the woods… 
<p>
Your darkest fears will awaken in these woods. Experience first-hand the toll that fear can take on the mind in a first-person, story-driven psychological horror game featuring an original story inspired by the cinematic lore of Blair Witch. With just your loyal dog Bullet by your side, navigate your way through a cursed forest that warps and distorts both time and space. Stand against the horrors of the Blair Witch and the decaying sanity of a man burdened by his past. As you delve deeper into the woods, how you react to danger and behave under pressure will ultimately teach you more about yourself. ",blair-witch,{Adventure},{},{},{},"{US, AU, UK, JP}"
39,Show,Bodyguard,"Set in and around the corridors of power, Bodyguard tells the fictional story of David Budd (Richard Madden), a heroic, but volatile war veteran now working as a Specialist Protection Officer for the Royalty and Specialist Branch (RasP) of London’s Metropolitan Police Service. When he is assigned to protect the ambitious and powerful Home Secretary Julia Montague (Keeley Hawes), Budd finds himself torn between his duty and his beliefs. Responsible for her safety, could he become her biggest threat?",bodyguard,{Drama},{},{Netflix.com},{},
40,Movie,Bombshell,Women take on Fox News boss Roger Ailes and the culture he presided over.,bombshell-2019,{Drama},{},{Lionsgate},{},
41,Game,Boneworks,"Boneworks Is a narrative VR action adventure using advanced experimental physics mechanics. Dynamically navigate through environments, engage in physics heavy combat, and creatively approach puzzles with physics. ",boneworks,{Action},{StressLevelZero},{StressLevelZero},{},
42,Comic,Books of Magic,"Timothy Hunter may be destined to become the most powerful magician in the universe, but he's still a London teenager and having magical abilities complicates things more than it helps. It's not like he can use magic to pass his exams, stop being bullied, or convince his cute friend to date him. And while Tim's trying to live his life, there are cultists who want to kill him, believing his power will eventually corrupt him, and turn him into a merciless mage. Oh, and those are the good guys.",books-of-magic-2018,{Fantasy},{},{DC Comics},{},
43,Movie,Booksmart,"Booksmart is an unfiltered comedy about high school best friends and the bonds we create that last a lifetime. Capturing the spirit of our times, the film is a coming of age story for a new generation.",booksmart,{Comedy},{Annapurna Pictures},{Annapurna Pictures},{},
44,Game,Borderlands 2: Commander Lilith and The Fight For Sanctuary,"Expect to romp through Borderlands 2 one more time in the rumored final DLC add-on expansion, Commander Lilith and The Fight For Sanctuary. ",borderlands-2-commander-lilith-and-the-fight-for-sanctuary,"{RPG,Shooter,DLC / Expansion}",{Gearbox Software},{Gearbox Software},{},"{US, AU, UK, JP}"
45,Game,Borderlands 3: Moxxi’s Heist,"In the first DLC campaign for Borderlands 3, Moxxi is recruiting you to seize control of a derelict space station built by the infamous Handsome Jack back when he was still president of the Hyperion corporation. The Handsome Jackpot is quite possibly the gaudiest gambling spot in the galaxy, with neon signs, slot machines, and gold statues all over the place. It’s also crawling with multiple models of deadly Hyperion Loader Bots, as well as lunatic looters who’ve been trapped on board ever since Jack’s death. 
<p>
Join Moxxi’s crew of eccentric characters and pull off the ultimate casino heist in a series of thrilling campaign missions. Get a blast from Pandora’s past when you battle the Hyperion forces that outlived Handsome Jack, including never-before-seen enemies and larger-than-life bosses. Explore a glitzy new galaxy destination packed with unique zones worthy of Handsome Jack’s lavish lifestyle and dirty dealings. Discover hidden secrets and strange happenings in The Handsome Jackpot via fresh side missions and Crew Challenges. Perfect your Vault Hunter’s gear loadout with all-new Legendary weapons and gear. Expand your collection of cosmetics with even more customization items, including Vault Hunter heads and skins, weapon trinkets, an ECHO Device skin, and new emotes. ",borderlands-3-dlc-moxxis-heist-of-the-handsome-jackpot,"{Action,RPG}",{Gearbox Software},{2K Games},{},"{US, AU, UK, JP}"
46,Show,,"Based on the book by Ross Thomas, Briarpatch follows Allegra Dill, an investigator returning to her border-town Texas home after her sister is killed by a car bomb.  As she seeks answers, Dill stumbles across widespread corruption in her beloved hometown.",briarpatch,{Drama},{},{USA Network},{},
47,Movie,Brightburn,"What if a child from another world crash-landed on Earth, but instead of becoming a hero to mankind, he proved to be something far more sinister?  Elizabeth Banks stars.",brightburn,{Horror},{},{Sony Pictures Entertainment},{},
48,Comic,Buffy,"This Buffy the Vampire Slayer comic marks a new start for the series under BOOM! Studios, after several years of comics based on the TV series by Dark Horse. ",buffy-the-vampire-slayer-boom-studios,{Action},{},{Boom Studios},{},
49,Game,Cadence of Hyrule,"Cadence of Hyrule: Crypt of the NecroDancer featuring The Legend of Zelda combines the worlds of Nintendo's historic The Legend of Zelda franchise and the musical rougelike dungeon exploration/rhythm game Crypt of the NecroDancer. As Link, Princess Zelda or Cadence, you’ll explore the randomly generated overworld and dungeons on a quest to save Hyrule. Every beat of each remixed, The Legend of Zelda tune is a chance to move, attack, defend, and more, so stay one step ahead of each enemy and boss…or face the music.
<p>
From modern-looking Lynels to the Hyrulean Soldiers of old, you must master the instinctive movements of each pixel-art enemy, and strategically outstep them in rhythmic combat. So equip yourself with an arsenal of iconic Legend of Zelda items, as well as the spells and weapons from Crypt of the Necrodancer. You must be prepared to face Hyrule’s most wicked bosses, which have been transformed by magic, granting them mighty, new forms! ",cadence-of-hyrule,"{Music,Adventure,Roguelike}",{Brace Yourself Games},{Nintendo},{The Legend of Zelda},"{US, AU, UK, JP}"
50,Game,Call of Duty: Mobile,"Take the heart-pounding, adrenaline-fueled action of Call of Duty with you wherever you go with Call of Duty: Mobile. Play your way across multiple game modes as you engage in head-to-head battle through fan-favorite Call of Duty maps like Nuketown and Crash, all optimized for mobile combat. ",call-of-duty-mobile,{Shooter},{Tencent},{Activision},{},"{US, AU, UK, JP}"
51,Game,Call of Duty,"Prepare to go dark -- Modern Warfare is back! Developed by Infinity Ward, Call of Duty: Modern Warfare puts you in the role of highly-skilled Tier One operators in an incredibly raw and gritty narrative affecting the global balance of power. The new Modern Warfare delivers an emotionally charged and intense campaign that shines a light on the changing nature of modern war. Expect a single-player experience that is edgy, culturally relevant, and thought-provoking. Players will fight alongside a diverse cast of international special forces and freedom fighters working within the grey area of their rules of engagement, in a number of heart-pounding covert operations set throughout iconic European cities and into the volatile expanses of the Middle East. Missions include close-quarter, stealth operations and long-range combat that puts tactical decision-making to the ultimate test.
<p>
Beyond the gripping single-player campaign, expect a unified narrative experience and progression across the entire game, including single-player campaign, online multiplayer, and co-op experiences. ",call-of-duty-2019,{Shooter},{Infinity Ward},{Activision},{},"{US, AU, UK, JP}"
52,Movie,Cam,"Cam is a technology-driven psychological thriller set in the world of webcam porn. It follows Alice, an ambitious camgirl, who wakes up one day to discover she’s been replaced on her show with an exact replica of herself. As this copy begins to push the boundaries of Alice’s internet identity, the control that Alice has over her life, and the men in it, vanishes. While she struggles to regain what she’s lost, she slowly finds herself drawn back to her show and to the mysterious person who has taken her place. ",cam,{Thriller},{},{Blumhouse Productions},{},
53,Comic,Captain Marvel,"As Captain Marvel, Carol Danvers has spent months in space protecting Earth from alien threats big and small, but now it’s time for Earth’s mightiest hero to come home. New York City has never looked so good. But every re-entry comes with the unexpected, and Carol is about to hit a whole lot of unexpected. It’s a fresh start and an oversized, star-studded welcome home for a hero who’s been punching the glass ceiling since the 1970s — and just in time for the first female-led film from Marvel Studios! The next 50 years of Captain Marvel starts here!",captain-marvel-2019,{},{},{Marvel Comics},{},
54,Movie,Captive State,"Set in a Chicago neighborhood nearly a decade after an occupation by an extra-terrestrial force, the film explores the lives on both sides of the conflict – the collaborators and dissidents.",captive-state,"{Thriller,Sci-Fi}",{},{Focus Features},{},
55,Game,Castlevania Anniversary Collection,"In celebration with the 50th anniversary since Konami was founded, the Anniversary Collection series highlights many of the iconic games that have been loved by fans throughout the years. Also includes a bonus eBook packed with new information about the titles, including interviews with the development staff, behind-the-scenes insights, and sketches and design documents never before revealed to the public! 
<p>
The Castlevania Anniversary Collection is designed to be a complete collection around the origins of the historic franchise. Included in the Castlevania Anniversary Collection are the following games: Castlevania, Castlevania II: Simon's Quest, Castlevania III: Dracula’s Curse, Castlevania the Adventure [GB], Castlevania II: Belmont’s Revenge [GB], Super Castlevania IV, Castlevania Bloodlines, and Kid Dracula. ",konami-anniversary-collection-castlevania,"{Compilation,Action}",{Konami},{Konami},{},"{US, AU, UK, JP}"
56,Movie,Cats,"Featuring Lloyd Webber's iconic music and a world-class cast of dancers under the guidance of Tony-winning choreographer Andy Blankenbuehler (Hamilton, In the Heights), the film reimagines the musicalfor a new generation with spectacular production design, state-of-the-art technology, and dance styles ranging from ballet to contemporary, hip-hop to jazz, street to tap.",cats,"{Animation,Musical}","{Working Title Films,Amblin Entertainment}",{Universal Pictures},{},
57,Show,Chernobyl,"Chernobyl dramatizes the 1986 nuclear accident, one of the worst human-made catastrophes in history, and tells the story of the brave men and women who made incredible sacrifices to save Europe from unimaginable disaster, all the while battling a culture of disinformation.",chernobyl,{Drama},{},{HBO},{},
58,Game,Close to the Sun,"Close to the Sun casts players back to the height of Nikola Tesla’s career in the late 1890s, charging them with boarding a mysterious ship complex created by the man himself to bring the greatest minds of the world together in an alternative version of history. 
<p>
Though his various scientific breakthroughs have, even at this early stage, had a major impact on the rest of the world, it quickly becomes apparent that something, somewhere on this ship has gone disastrously wrong, and history is not playing out as it should. Players take on the role of Rose, a young journalist searching for her sister in this first-person horror adventure, with Close to the Sun’s water-laden world offering no way of escape and no easy answers to the riddles aplenty therein. ",close-to-the-sun,"{Action,Adventure}",{Storm in a Teacup},{Wired Productions},{},"{US, AU, UK, JP}"
59,Movie,Cold Pursuit,"Cold Pursuit stars Liam Neeson as Nels Coxman, a family man whose quiet life with his wife (Laura Dern) is upended following the mysterious death of their son. Nels' search for justice turns into a vengeful hunt for Viking (Tom Bateman), a drug lord he believes is connected to the death. As one by one each of Viking’s associates ""disappear,"" Nels goes from upstanding citizen to ice-cold vigilante, letting nothing — and no one — get in his way.",cold-pursuit,"{Action,Thriller,Drama}",{StudioCanal},"{Summit Entertainment,Lionsgate}",{},
60,Movie,Color Out of Space,"Color Out of Space is based on the short story by H.P. Lovecraft. After a meteorite lands in the front yard of their farmstead, Nathan Gardner (Nicolas Cage) and his family find themselves battling a mutant extraterrestrial organism as it infects their minds and bodies, transforming their quiet rural life into a technicolor nightmare.",color-out-of-space,"{Sci-Fi,Horror}",{SpectreVision},{RLJE Films},{},
